spam	asunto	texto
1	Gana dinero fácil hoy mismo	Descubre cómo puedes ganar miles de dólares desde casa sin esfuerzo. ¡Haz clic aquí!
0	Reunión de proyecto programada para mañana	Recuerda que tenemos una reunión importante para discutir los avances del proyecto mañana a las 10 AM.
1	Oferta exclusiva: 50% de descuento en todo	¡Aprovecha esta oferta única antes de que expire! Usa el código DESCUENTO50 en tu compra.
0	Confirmación de pago de tu factura	Tu factura ha sido procesada correctamente. Puedes descargar el recibo desde el siguiente enlace.
1	Consigue seguidores en redes sociales gratis	Incrementa tu popularidad en redes sociales obteniendo seguidores sin costo. Haz clic para más información.
0	Actualización de políticas de privacidad	Te informamos que hemos actualizado nuestras políticas de privacidad para cumplir con los nuevos requisitos legales.
1	Tu cuenta ha sido bloqueada temporalmente	Hemos detectado actividad sospechosa en tu cuenta. Haz clic aquí para desbloquearla de inmediato.
0	Agenda de la reunión semanal	Por favor, revisa los puntos que se discutirán en la reunión semanal el próximo lunes.
1	Tu banco te regala $500 solo por registrarte	Regístrate hoy mismo y recibe $500 en tu cuenta sin necesidad de hacer nada más. ¡Solo por tiempo limitado!
0	Invitación a evento de networking profesional	Te invitamos a participar en nuestro evento de networking para conectar con otros profesionales de la industria.
1	Has sido seleccionado para un premio sorpresa	¡Felicidades! Has sido seleccionado para ganar un increíble premio sorpresa. Reclámalo ahora.
0	Recordatorio de cita médica	Te recordamos que tienes una cita médica programada para el próximo jueves a las 4:00 PM.
1	¡No pierdas esta oportunidad única de inversión!	Inversiones seguras y de alto rendimiento. Multiplica tu dinero rápidamente, haz clic aquí para más detalles.
0	Resumen de actividad bancaria de este mes	Tu resumen de cuenta bancaria de este mes está disponible en línea. Accede para revisarlo.
1	Aumenta el tamaño de tu memoria con esta simple herramienta	Optimiza tu computadora y aumenta su rendimiento con nuestra herramienta gratuita. Haz clic para descargar.
0	Actualización de estado del envío	Tu pedido ha sido enviado y está en camino. Haz seguimiento de tu envío a través de este enlace.
1	Accede a películas y series ilimitadas gratis	Disfruta de acceso ilimitado a las mejores películas y series sin costo alguno. Solo tienes que registrarte.
0	Oferta especial de nuestro restaurante favorito	Disfruta de un 20% de descuento en tu próxima visita mostrando este correo en la caja.
1	Obtén acceso VIP a conciertos sin pagar	Consigue entradas VIP para los conciertos más exclusivos sin pagar ni un centavo. ¡Solo por tiempo limitado!
0	Confirmación de tu inscripción al curso de inglés	Gracias por inscribirte en nuestro curso de inglés online. El inicio de clases será el lunes próximo a las 6:00 PM.
1	¡Consigue un iPhone gratis!	Participa en nuestra encuesta y llévate un iPhone completamente gratis. Solo quedan pocas unidades.
0	Invitación a la conferencia de tecnología	Te invitamos a asistir a la conferencia de tecnología el próximo viernes. Confirma tu asistencia antes del miércoles.
1	Elimina todas tus deudas en un solo clic	Descubre cómo puedes borrar tus deudas sin esfuerzo alguno. Haz clic aquí y empieza tu nueva vida sin deudas.
0	Confirmación de suscripción a nuestra newsletter	Gracias por suscribirte a nuestras noticias semanales. Pronto recibirás las últimas novedades.
1	¡Gana un viaje todo pagado a las Maldivas!	Participa ahora para ganar unas vacaciones de ensueño en las Maldivas. ¡Todo pagado por nosotros!
0	Notificación de entrega de tu paquete	Tu paquete ha sido entregado con éxito. Verifica los detalles de la entrega accediendo a tu cuenta.
1	Obtén un préstamo instantáneo sin revisar tu historial	No necesitas comprobar tu crédito. Obtén un préstamo en minutos con solo llenar un sencillo formulario.
0	Actualización del contrato de trabajo	Te informamos que hemos realizado cambios en tu contrato de trabajo. Revisa los nuevos términos en el documento adjunto.
1	Tu crédito ha sido pre-aprobado por $10,000	Accede a un crédito pre-aprobado de $10,000 sin papeleo ni complicaciones. Solo haz clic aquí.
0	Invitación a la fiesta de aniversario de la empresa	Estamos celebrando nuestro aniversario y queremos que nos acompañes. Confirma tu asistencia antes del 10 de noviembre.
1	Tu tarjeta de crédito ha sido bloqueada temporalmente	Para reactivar tu tarjeta, haz clic aquí e ingresa tus datos. No pierdas el acceso a tus fondos.
0	Informe mensual de desempeño del equipo	Adjunto encontrarás el informe de desempeño del equipo correspondiente al mes de octubre.
1	¡Descarga música gratis ahora mismo!	Accede a millones de canciones sin pagar nada. Descarga gratis con un solo clic.
0	Actualización de la política de reembolso	Te informamos que hemos actualizado nuestra política de reembolso. Revisa los detalles aquí.
1	Recibe tus facturas electrónicas en tu correo	Inscríbete para recibir todas tus facturas electrónicas con un solo clic. Hazlo rápido antes de que la oferta termine.
0	Confirmación de asistencia a la reunión trimestral	Confirma tu asistencia a la reunión trimestral programada para el próximo martes a las 3:00 PM.
1	Tu cuenta de PayPal ha sido suspendida	Reinicia tu cuenta ahora para evitar el bloqueo permanente. Haz clic aquí para comenzar.
0	Resumen de tu compra reciente en nuestra tienda	Gracias por tu compra. Encuentra el detalle de tu orden en el archivo adjunto.
1	¡Oferta especial! Curso de cocina a solo $10	Inscríbete hoy en nuestro curso de cocina por solo $10. Oferta válida hasta fin de mes.
0	Recordatorio de mantenimiento programado	Se realizará el mantenimiento de los servidores este domingo. El sistema estará fuera de servicio de 1:00 AM a 5:00 AM.
1	Obtén acceso a canales premium gratis por 1 mes	Disfruta de canales premium totalmente gratis durante un mes. Haz clic aquí para registrarte.
0	Invitación al webinar sobre ciberseguridad	Te invitamos a nuestro próximo webinar sobre ciberseguridad este jueves. Inscríbete para reservar tu lugar.
1	Confirma tu premio de $1,000 ahora mismo	¡Eres uno de los afortunados ganadores! Confirma tu premio de $1,000 haciendo clic en este enlace.
0	Detalles del plan de seguro médico	Adjunto encontrarás la póliza y los detalles actualizados de tu seguro médico para el próximo año.
